dbfile	key	version	category	folder	speaker	mission	anh_en
lang_area.db	10	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			Whining Aix's Mire
lang_area.db	100	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			Supply Station
lang_area.db	101	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			Lair of Gun
lang_area.db	102	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			Frosting Harbour
lang_area.db	103	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			Jiting Remnant
lang_area.db	104	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			Waving Battlefield
lang_area.db	105	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			Plateau Ruins
lang_area.db	106	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			Fallen Grave
lang_area.db	107	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			Zero Point Research Station
lang_area.db	11	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			Black Shores
lang_area.db	115	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			Abandoned Subway
lang_area.db	12	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			Hukou, the Tiger's Maw
lang_area.db	13	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			Zero Point Research Station
lang_area.db	2	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			Gorges of Spirits
lang_area.db	3	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			Tiancheng
lang_area.db	36	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			Outskirt
lang_area.db	37	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			Industrial Area
lang_area.db	38	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			Tiancheng Urban Area
lang_area.db	39	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			Center Comand Hall
lang_area.db	4	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			Central Plains
lang_area.db	40	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			Tide Rising Cliff
lang_area.db	41	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			Stone Pile Plain
