dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_multi_text.db	EVENT_KXFY_1_1	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		客人，你回来啦。	You're back, Passenger.	お客様、おかえり。	Hành Khách, cậu đã quay lại rồi.
lang_multi_text.db	EVENT_KXFY_1_10	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		但这实在是非同寻常……此前集域的异常多发生在外层，而「梦居」一直十分稳定。	This is something I've never seen before... The anomalies we've had so far mostly occurred in the outer layers, and the Dream Abode has always been very stable.	でも、それなら実に非常事態だねぇ……前の異常は外側に起きた場合がほとんどだったし、「夢の館」自体はずっと安定してるの。	Nhưng chuyện này thực sự khác thường... Trước đây, các bất thường của Somnoire phần lớn xảy ra ở lớp ngoài, còn "Mộng Cư" thì luôn rất ổn định.
lang_multi_text.db	EVENT_KXFY_1_11	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		唔……看来具体的情况还需要调查呢。	Hmm... Looks like we have an investigation in our hands.	うーん……詳しいことはまだまだ調査が必要みたいだねぇ。	Ưm... Xem ra tình hình cụ thể vẫn cần phải điều tra thêm thôi.
lang_multi_text.db	EVENT_KXFY_1_12	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		接下来的调查，黑色守门人也会一起前往。我们一起协力，先从解决掉眼前的异常开始吧。	The Ebony Gatekeeper and I will go along with you for a closer look. Let's start with the problems at hand.	これからの調査は、黒きゲートキーパーも一緒に行くんだ。一緒に協力して、とりあえず目の前の異常から片付けていこう。	Trong cuộc điều tra tới đây, Người Gác Cổng Hắc Ám cũng sẽ cùng đi. Chúng ta hãy phối hợp với nhau, bắt đầu từ việc giải quyết sự bất thường trước mắt nhé.
lang_multi_text.db	EVENT_KXFY_1_2	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		有一个好消息要告诉你。对于心之集域的情况，我们现在已经有些头绪了。	I have some good news for you. We have some leads about the Somnoire.	グッドニュースだよ。心の集域の様子について、少し分かったことがあるんだ。	Có một tin tốt muốn nói với cậu đây. Về tình hình của Somnoire, hiện chúng mình đã có chút manh mối rồi.
lang_multi_text.db	EVENT_KXFY_1_3	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		根据我和黑色守门人推测，这次的异常可能和「梦居」有关。	Based on a theory the Ebony Gatekeeper and I have been working on, this anomaly may be related to the Dream Abode.	ナミポンと黒きゲートキーパーの推測によると、今回の異常は「夢の館」と関連している可能性があるみたい。	Theo suy đoán của mình và Người Gác Cổng Hắc Ám, dị thường lần này có thể liên quan đến "Mộng Cư".
lang_multi_text.db	EVENT_KXFY_1_4	3.4	Hội thoại/Cốt truyện	Sự kiện			「梦居」？	Dream Abode?	「夢の館」？	Mộng Cư trong giấc mơ ư?
lang_multi_text.db	EVENT_KXFY_1_5	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		心之集域是一个由梦境构成的国度，而这个国度中也有着自己的住民。	The Somnoire is a realm made up of dreams, and one that also has its own inhabitants.	心の集域は夢でできてる世界だから、もちろん、そんな世界にも住民が住んでるの。	Somnoire là một vương quốc được tạo nên từ giấc mơ, và vương quốc này cũng có cư dân của riêng nó.
lang_multi_text.db	EVENT_KXFY_1_6	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		比如你曾看到的入梦虚影，以及其他心之集域中更悠久的存在……它们都是心之集域的住民。	Such as the Illusias you encountered, and other, older beings that existed long before... They are all inhabitants of the Somnoire.	例えば、前に見た夢見る虚影や、心の集域に長らく住んでた古い存在……みんな心の集域の住民なんだ。	Ví dụ như các Illusia (Nhập Mộng Hư Ảnh) mà cậu từng gặp, cùng những tồn tại lâu đời hơn khác trong Somnoire... chúng đều là cư dân của Somnoire.
lang_multi_text.db	EVENT_KXFY_1_7	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		而这些住民们生活的地方，就是「梦居」。	And the Dream Abode is where everyone lives.	そしてそれらの住民たちが生活してる場所が、「夢の館」なの。	Và nơi những cư dân này sinh sống chính là "Mộng Cư".
