dbfile	key	version	category	folder	speaker	mission	anh_en
lang_multi_text.db	WeaponConf_20000110_WeaponName	3.4	Hội thoại/Cốt truyện	Vũ khí			Test1-Short Sword
lang_multi_text.db	WeaponConf_21010011_AttributesDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			This broadblade is designed specifically for training and teaching, offering only the basic features.
lang_multi_text.db	WeaponConf_21010011_BgDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			This broadblade is designed specifically for training and teaching, offering only the basic features.
lang_multi_text.db	WeaponConf_21010011_Desc	3.4	Hội thoại/Cốt truyện	Vũ khí			Increases ATK by {0}.
lang_multi_text.db	WeaponConf_21010011_ObtainedShowDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			This broadblade is designed specifically for training and teaching, offering only the basic features.
lang_multi_text.db	WeaponConf_21010011_TypeDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			Weapon
lang_multi_text.db	WeaponConf_21010011_WeaponName	3.4	Hội thoại/Cốt truyện	Vũ khí			Training Broadblade
lang_multi_text.db	WeaponConf_21010012_AttributesDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			The onset of pinnacle pursuit. A broadblade designed for novice Resonators. Contains a power not to be underestimated under its simple outlook.
lang_multi_text.db	WeaponConf_21010012_BgDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			The onset of pinnacle pursuit. A broadblade designed for novice Resonators. Contains a power not to be underestimated under its simple outlook.
lang_multi_text.db	WeaponConf_21010012_Desc	3.4	Hội thoại/Cốt truyện	Vũ khí			Increases ATK by {0}.
lang_multi_text.db	WeaponConf_21010012_ObtainedShowDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			The onset of pinnacle pursuit. A broadblade designed for novice Resonators. Contains a power not to be underestimated under its simple outlook.
lang_multi_text.db	WeaponConf_21010012_TypeDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			Weapon
lang_multi_text.db	WeaponConf_21010012_WeaponName	3.4	Hội thoại/Cốt truyện	Vũ khí			Tyro Broadblade
lang_multi_text.db	WeaponConf_21010013_AttributesDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			May victory prevail the lasting night. In addition to the sworn oath of protection, this broadblade also carries the resolution of those fighting souls.
lang_multi_text.db	WeaponConf_21010013_BgDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			May victory prevail the lasting night. In addition to the sworn oath of protection, this broadblade also carries the resolution of those fighting souls.
lang_multi_text.db	WeaponConf_21010013_Desc	3.4	Hội thoại/Cốt truyện	Vũ khí			When Intro Skill is cast, increases ATK by {0}, lasting for {1}s.
lang_multi_text.db	WeaponConf_21010013_ObtainedShowDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			May victory prevail the lasting night. In addition to the sworn oath of protection, this broadblade also carries the resolution of those fighting souls.
lang_multi_text.db	WeaponConf_21010013_TypeDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			Weapon
lang_multi_text.db	WeaponConf_21010013_WeaponName	3.4	Hội thoại/Cốt truyện	Vũ khí			Broadblade of Night
lang_multi_text.db	WeaponConf_21010014_AttributesDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			A pre-Lament forging technique is used, rendering the broadblade lightweight and handy with its cumbersome-looking body. Buzzing sounds can be heard when the wielder slashes, like a croon from time immemorial.
lang_multi_text.db	WeaponConf_21010014_BgDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			A pre-Lament forging technique is used, rendering the broadblade lightweight and handy with its cumbersome-looking body. Buzzing sounds can be heard when the wielder slashes, like a croon from time immemorial.
lang_multi_text.db	WeaponConf_21010014_Desc	3.4	Hội thoại/Cốt truyện	Vũ khí			When receiving damage, ATK is increased by {0}% and DEF by {1}% for 10s. Can be stacked up to 3 times.
lang_multi_text.db	WeaponConf_21010014_ObtainedShowDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			A pre-Lament forging technique is used, rendering the broadblade lightweight and handy with its cumbersome-looking body. Buzzing sounds can be heard when the wielder slashes, like a croon from time immemorial.
lang_multi_text.db	WeaponConf_21010014_TypeDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			Weapon
lang_multi_text.db	WeaponConf_21010014_WeaponName	3.4	Hội thoại/Cốt truyện	Vũ khí			Ultrasonic Judgement
lang_multi_text.db	WeaponConf_21010015_AttributesDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			Gaze upon this Broadblade, its sharp edges gleaming in the frigid air. Wield it to feel power coursing through you like a raging river.
lang_multi_text.db	WeaponConf_21010015_BgDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			Gaze upon this Broadblade, its sharp edges gleaming in the frigid air. Wield it to feel power coursing through you like a raging river.
lang_multi_text.db	WeaponConf_21010015_Desc	3.4	Hội thoại/Cốt truyện	Vũ khí			Increases Energy Regen by {0}. When Resonance Skill is cast, Resonance Liberation DMG Bonus is increased by {1}, stacking up to {2} times. This effect lasts for {3}s.
lang_multi_text.db	WeaponConf_21010015_ObtainedShowDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			Gaze upon this Broadblade, its sharp edges gleaming in the frigid air. Wield it to feel power coursing through you like a raging river.
lang_multi_text.db	WeaponConf_21010015_TypeDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			Weapon
lang_multi_text.db	WeaponConf_21010015_WeaponName	3.4	Hội thoại/Cốt truyện	Vũ khí			Lustrous Razor
lang_multi_text.db	WeaponConf_21010016_AttributesDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			The ancient mountain stands tall, its peak reaching towards the sky. A river flows for thousands of years, forming the blade of a powerful weapon. As it is unsheathed, a powerful dragon's roar echoes through the heavens and earth, causing the sea to churn. This awe-inspiring weapon strikes fear in all who witness its might.
lang_multi_text.db	WeaponConf_21010016_BgDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			The ancient mountain stands tall, its peak reaching towards the sky. A river flows for thousands of years, forming the blade of a powerful weapon. As it is unsheathed, a powerful dragon's roar echoes through the heavens and earth, causing the sea to churn. This awe-inspiring weapon strikes fear in all who witness its might.
lang_multi_text.db	WeaponConf_21010016_Desc	3.4	Hội thoại/Cốt truyện	Vũ khí			Increases Attribute DMG Bonus by {0}. Every time Intro Skill or Resonance Liberation is cast, increases Heavy Attack DMG Bonus by {1}, stacking up to {2} time(s). This effect lasts for {3}s.
lang_multi_text.db	WeaponConf_21010016_ObtainedShowDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			The ancient mountain stands tall, its peak reaching towards the sky. A river flows for thousands of years, forming the blade of a powerful weapon. As it is unsheathed, a powerful dragon's roar echoes through the heavens and earth, causing the sea to churn. This awe-inspiring weapon strikes fear in all who witness its might.
lang_multi_text.db	WeaponConf_21010016_TypeDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			Weapon
lang_multi_text.db	WeaponConf_21010016_WeaponName	3.4	Hội thoại/Cốt truyện	Vũ khí			Verdant Summit
lang_multi_text.db	WeaponConf_21010023_AttributesDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			To create new Tacetite weapons, the Huaxu Academy designed this test Broadblade for technical verification. Its main feature is healing through attacks, improving the physical abilities of Resonators while exhibiting impressive weapon performance.
lang_multi_text.db	WeaponConf_21010023_BgDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			To create new Tacetite weapons, the Huaxu Academy designed this test Broadblade for technical verification. Its main feature is healing through attacks, improving the physical abilities of Resonators while exhibiting impressive weapon performance.
lang_multi_text.db	WeaponConf_21010023_Desc	3.4	Hội thoại/Cốt truyện	Vũ khí			When Resonance Skill is cast, heals {0} of the Resonator's Max HP. This effect can be triggered {2} time(s) every {1}s.
lang_multi_text.db	WeaponConf_21010023_ObtainedShowDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			To create new Tacetite weapons, the Huaxu Academy designed this test Broadblade for technical verification. Its main feature is healing through attacks, improving the physical abilities of Resonators while exhibiting impressive weapon performance.
