dbfile	key	version	category	folder	speaker	mission	anh_en
lang_detection.db	1	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			Vanguard Junrock
lang_detection.db	10	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			Fusion Warrior
lang_detection.db	100	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			Exile Leader
lang_detection.db	101	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			Leaders of the outlaws, usually found in the Exile Campgrounds across the world, has more combat experience and skills than the average Exile, and are somewhat dangerous.
lang_detection.db	102	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			Exile Leaders are mostly Resonators. In the Huanglong region, for example, the Exile Leaders are usually those who have been expelled from the Mornguard for various reasons, and their combat experience and abilities cannot be compared with those of ordinary Exiles.
lang_detection.db	103	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			Hooscamp
lang_detection.db	104	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			Primate larvae unique to the Dim Forest. Multiple sighting reports indicate that they often move with the adults and have relatively high intelligence, but are less mobile and less dangerous than the adults.
lang_detection.db	106	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			Cyrscorpion
lang_detection.db	107	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			Small Mutant Organism, widely distributed, with different subspecies reported in various regions, mostly found in caves, mines and other dark and humid places around the world, with a low level of danger.
lang_detection.db	108	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			The Cyrscorpion is one of the few Mutant Organisms that shares the same common name and scientific classification.
lang_detection.db	109	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			Hoochief
lang_detection.db	11	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			The appearance of this Tacet Discord resembles a humanoid, widely distributed. The attacks are mainly at close range and are dangerous.
lang_detection.db	110	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			Mutant Organism unique to the Dim Forest. Multiple sighting reports show that such Mutant Organisms are relatively high in intelligence, have strong ability to act cooperatively, capable of group combat, and are somewhat dangerous.
lang_detection.db	112	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			Spearback Ursa
lang_detection.db	113	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			Large Mutant Organism inhabiting the Huanglong Forest, usually moving in small groups of 3-5, with a keen sense of smell and a certain degree of danger.
lang_detection.db	114	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			Trinomial name "Ursus spelaeus sagispina", mainly found inhabiting the Huanglong Forest. This Mutant Organism has poor eyesight and relies mainly on hearing for hunting.
lang_detection.db	115	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			Chaserazor
lang_detection.db	116	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			Tacet Discord unique to the Dim Forest. Sighting reports and insurance claims state that it has a strong desire to hunt and attack, and is presumed to be dangerous.
lang_detection.db	12	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			Binomial name "Devorsonidum fusio", a member of the genus Devorsonidum. Bilateral upper limbs resemble long and short spears respectively, and can attack by stabbing and chopping. Moderate danger level.
lang_detection.db	121	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			Fractsidus Executioner
lang_detection.db	124	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			Thunder Squama
lang_detection.db	125	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			A powerful Tacet Discord that appears in the Tacet Field of Desorock Highlands and is capable of using the power of the Electro.
lang_detection.db	127	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			Inferno Rider
