dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_multi_text.db	ElementalReaction_11_ReactionDescription	3.4	Hội thoại/Cốt truyện	Hệ thống/Thuật ngữ			触发协奏作用时，若两个角色的属性类型同为<color=#1891e7>冷凝</color>，则触发<color=#8c7e51>冷凝齐奏</color>，对目标造成<color=#1891e7>冷凝</color>伤害。	When the Concerto Effect is triggered, if the attribute types of the two Characters are both <color=#1891e7>Glacio</color>, the <color=#8c7e51>Glacio Concerto</color> is triggered, causing <color=#1891e7>Glacio</color> DMG to the target.	協奏エフェクトが発動すると、2人のキャラクターの属性がともに<color=#1891e7>凝縮</color>の場合、<color=#8c7e51>凝縮の協奏</color>が発動し、目標に<color=#1891e7>凝縮</color>ダメージを与える。	Khi kích hoạt Hiệp Tấu, nếu thuộc tính của 2 nhân vật đều là <color=#1891e7>Ngưng Băng</color>, sẽ kích hoạt <color=#8c7e51>Hợp Xướng Ngưng Băng</color>, gây sát thương <color=#1891e7>Ngưng Băng</color> cho mục tiêu.
lang_multi_text.db	ElementalReaction_11_ReactionName	3.4	Hội thoại/Cốt truyện	Hệ thống/Thuật ngữ			冷凝齐奏	Glacio Harmony	凝縮の協奏	Hợp Xướng Ngưng Băng
lang_multi_text.db	ElementalReaction_21_ReactionDescription	3.4	Hội thoại/Cốt truyện	Hệ thống/Thuật ngữ			触发协奏作用时，若两个角色的属性类型分别为<color=#1891e7>冷凝</color>和<color=#e15226>热熔</color>，则触发<color=#8c7e51>冷热合奏</color>。\n登场角色共鸣解放造成的伤害提升<color=#8c7e51>40%</color>，持续<color=#8c7e51>12</color>秒。角色未登场时不生效。	Triggers <color=#8c7e51>Hot and Cold Ensemble</color> when Concerto Effect is triggered if both Character's Attribute Types are <color=#1891e7>Glacio</color> and <color=#e15226>Fusion</color>, respectively.\nDamage dealt by the debuting CharacterResonance Liberation is increased by <color=#8c7e51>40%</color> for <color=#8c7e51>12</color> seconds. does not take effect when the Character is not debuting.	協奏エフェクトが発動すると、2人のキャラクターの属性がそれぞれ<color=#1891e7>凝縮</color>と<color=#e15226>焦熱</color>の場合、<color=#8c7e51>熱凝協奏</color>が発動する。\n登場キャラクターの共鳴解放によるダメージが<color=#8c7e51>40%</color>上昇し、<color=#8c7e51>12</color>秒続く。キャラクターが登場していないときは効果がない。	Khi kích hoạt Hiệp Tấu, nếu thuộc tính của hai nhân vật lần lượt là <color=#1891e7>Ngưng Băng</color> và <color=#e15226>Hỏa Liệt</color>, sẽ kích hoạt <color=#8c7e51>Hợp Xướng Băng Hỏa</color>.\nSát thương từ Giải Phóng Cộng Hưởng của nhân vật xuất chiến tăng <color=#8c7e51>40%</color>, duy trì <color=#8c7e51>12</color> giây. Sẽ không có hiệu lực khi nhân vật chưa xuất chiến.
lang_multi_text.db	ElementalReaction_21_ReactionName	3.4	Hội thoại/Cốt truyện	Hệ thống/Thuật ngữ			冷热合奏	Cold and Hot Ensemble	独奏	Hợp Xướng Băng Hỏa
lang_multi_text.db	ElementalReaction_22_ReactionDescription	3.4	Hội thoại/Cốt truyện	Hệ thống/Thuật ngữ			触发协奏作用时，若两个角色的属性类型同为<color=#e15226>热熔</color>，则触发<color=#8c7e51>热熔齐奏</color>，对目标造成<color=#e15226>热熔</color>伤害。	When the Concerto Effect is triggered, if both Characters have the same attribute type of <color=#e15226>Fusion</color>, it triggers the <color=#8c7e51>Fusion flurry</color>, which inflicts <color=#e15226>Fusion</color> DMG.	協奏エフェクトが発動すると、2人のキャラクターの属性がともに<color=#e15226>焦熱</color>の場合、<color=#8c7e51>焦熱の協奏</color>が発動し、目標に<color=#e15226>焦熱</color>ダメージを与える。	Khi kích hoạt Hiệp Tấu, nếu thuộc tính của 2 nhân vật đều là <color=#e15226>Hỏa Liệt</color>, sẽ kích hoạt <color=#8c7e51>Hợp Xướng Hỏa Liệt</color>, gây sát thương <color=#e15226>Hỏa Liệt</color> cho mục tiêu.
lang_multi_text.db	ElementalReaction_22_ReactionName	3.4	Hội thoại/Cốt truyện	Hệ thống/Thuật ngữ			热熔齐奏	Fusion Ensemble	ホットメルト・フラリー	Hợp Xướng Hỏa Liệt
lang_multi_text.db	ElementalReaction_31_ReactionDescription	3.4	Hội thoại/Cốt truyện	Hệ thống/Thuật ngữ			触发协奏作用时，若两个角色的属性类型分别为<color=#1891e7>冷凝</color>和<color=#9656d8>导电</color>，则触发<color=#8c7e51>冷电合奏</color>。\n登场角色普攻与重击造成的伤害提升<color=#8c7e51>40%</color>，持续<color=#8c7e51>12</color>秒。角色未登场时不生效。	When the Concerto Effect is triggered, if both Character's attribute types are <color=#1891e7>Glacio</color> and <color=#9656d8>Electro</color>, it triggers the <color=#8c7e51>Cold and Electric Ensemble</color>.\nDebuting CharacterBasic Attack and Heavy Attack deal <color=#8c7e51>40% more damage</color> for <color=#8c7e51>12</color> seconds. does not take effect when the Character is not debuting.	協奏エフェクトが発動すると、2人のキャラクターの属性がそれぞれ<color=#1891e7>凝縮</color>と<color=#9656d8>電導</color>の場合、<color=#8c7e51>凝縮電導協奏</color>が発動する。\n登場キャラクターの通常攻撃と重撃が<color=#8c7e51>40%</color>増加し、<color=#8c7e51>12</color>秒続く。キャラクターが登場していないときは効果がない。	Khi kích hoạt Hiệp Tấu, nếu thuộc tính của hai nhân vật lần lượt là <color=#1891e7>Ngưng Băng</color> và <color=#9656d8>Điện Từ</color>, sẽ kích hoạt <color=#8c7e51>Hợp Xướng Băng Điện</color>.\nSát thương Đánh Thường và Đánh Mạnh của nhân vật xuất chiến tăng <color=#8c7e51>40%</color>, duy trì <color=#8c7e51>12</color> giây. Sẽ không có hiệu lực khi nhân vật chưa xuất chiến.
lang_multi_text.db	ElementalReaction_31_ReactionName	3.4	Hội thoại/Cốt truyện	Hệ thống/Thuật ngữ			冷电合奏	combined heat and power (physics)	熱電併給	Hợp Xướng Băng Điện
lang_multi_text.db	ElementalReaction_32_ReactionDescription	3.4	Hội thoại/Cốt truyện	Hệ thống/Thuật ngữ			触发协奏作用时，若两个角色的属性类型分别为<color=#e15226>热熔</color>和<color=#9656d8>导电</color>，则触发<color=#8c7e51>热电合奏</color>。\n登场角色共鸣技能造成的伤害提升<color=#8c7e51>40%</color>，持续<color=#8c7e51>12</color>秒。角色未登场时效果不生效。	Triggers <color=#8c7e51>Thermoelectric Ensemble</color> when Concerto Effect is triggered if both Character's Attribute Types are <color=#e15226>Fusion</color> and <color=#9656d8>Electro</color>, respectively.\nDamage dealt by the debuting CharacterResonance Skill is increased by <color=#8c7e51>40%</color> for <color=#8c7e51>12</color> seconds.The effect does not take effect when the Character is not debuting.	協奏エフェクトが発動すると、2人のキャラクターの属性がそれぞれ<color=#e15226>焦熱</color>と<color=#9656d8>電導</color>の場合、<color=#8c7e51>熱電協奏</color>が発動する。\n登場キャラクターの共鳴スキルによるダメージが<color=#8c7e51>40%</color>上昇し、<color=#8c7e51>12</color>秒続く。キャラクターが登場していないときは効果が発動しない。	Khi kích hoạt Hiệp Tấu, nếu thuộc tính của hai nhân vật lần lượt là <color=#e15226>Hỏa Liệt</color> và <color=#9656d8>Điện Từ</color>, sẽ kích hoạt <color=#8c7e51>Hợp Xướng Hỏa Điện</color>.\nSát thương Kỹ Năng Cộng Hưởng của nhân vật xuất chiến tăng <color=#8c7e51>40%</color>, duy trì <color=#8c7e51>12</color> giây. Sẽ không có hiệu lực khi nhân vật chưa xuất chiến.
lang_multi_text.db	ElementalReaction_32_ReactionName	3.4	Hội thoại/Cốt truyện	Hệ thống/Thuật ngữ			热电合奏	thermoelectric ensemble	サーモエレクトリック・アンサンブル	Hợp Xướng Hỏa Điện
