dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_cgVideo.db	1	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	Rage on and on……	火が付いたまま……	Bùng cháy mãi không thôi......
lang_cgVideo.db	10	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	The story I am about to tell you happened a long long time ago……	これは、むかしむかしの物語。	Câu chuyện ta sắp kể cho ngươi đã xảy ra từ rất lâu, rất lâu về trước......
lang_cgVideo.db	11	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	The catastrophe by the name of "Lament" permeates the world in a disjointed manner.	「悲鳴」という災難が、この世界に深く根付けていた。	Tai họa mang tên "Bi Minh" thấm sâu vào thế giới một cách rời rạc.
lang_cgVideo.db	12	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	Mankind is lost in despair,	人類は絶望の中で言葉を失い、	Nhân loại lạc lối trong tuyệt vọng,
lang_cgVideo.db	13	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	But is also reborn in the silence.	そして沈黙の中で生まれ変わった。	Nhưng cũng được tái sinh trong tịch lặng.
lang_cgVideo.db	14	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	A newborn accompanied by risk and hope.	それは、危険と希望が伴う新生。	Một cuộc tái sinh đi cùng nguy hiểm và hy vọng.
lang_cgVideo.db	15	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	The Calamons ravaged the lands.	大地が混沌なる者に蹂躙され、	Hỗn Độn Giả tàn phá các vùng đất.
lang_cgVideo.db	16	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	Mankind thirsts for the light on top of the ruins of chaos and strife.	人類は不穏と紛争の満ちた廃墟に立ち、光を求めた。	Nhân loại khát khao ánh sáng trên những phế tích của hỗn loạn và tranh giành.
lang_cgVideo.db	17	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	The shimmering light that pierces the dark tides,	微光が黒い潮を切り裂き、	Tia sáng le lói xuyên thủng dòng triều đen tối,
lang_cgVideo.db	18	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	connecting to the resonance of life.	鳴動は命を結びつけた。	Nối liền sự cộng hưởng của sinh mệnh.
lang_cgVideo.db	19	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	Thus, they were born.	彼らは、遂に産まれた。	Và rồi, họ đã được sinh ra.
lang_cgVideo.db	2	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	Rage on and on……	火が付いたまま……	Bùng cháy mãi không thôi......
lang_cgVideo.db	20	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	"Resonators" tasked with a mission,	使命が与えられた「共鳴者」は、	Những "<ano=Resonator>Cộng Hưởng Giả</ano>" được giao phó sứ mệnh,
lang_cgVideo.db	21	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	Grasping a dim light of hope.	儚い希望を手に握る。	Nắm chặt một tia hy vọng mong manh.
lang_cgVideo.db	22	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	Waving off the prolonging gloom.	彼らは長きにわたる曇りを払い、	Xua tan màn u ám kéo dài.
lang_cgVideo.db	23	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	Attempting to shatter the hotbed of disasters.	その災難の温床を砕こうとしていた。	Cố đập tan cội nguồn của tai họa.
lang_cgVideo.db	24	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	Only the whistling winter wind,	ただ、吹き荒れた冬風が、	Chỉ còn cơn gió đông gào thét,
lang_cgVideo.db	25	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	Is the song of their victories.	彼らに勝利の賛歌を送った。	Là khúc ca chiến thắng của họ.
lang_cgVideo.db	26	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	Yet, the flames of destruction has been rekindled.	でも、破滅の火種はまた点けられ、	Thế nhưng, ngọn lửa hủy diệt lại được nhen nhóm.
lang_cgVideo.db	27	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	The devastated land wails again.	傷ついた大地の鳴き声が響く。	Vùng đất tan hoang lại cất tiếng kêu than.
lang_cgVideo.db	28	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	The dark tides that lurk within the world,	世界の裏に潜む暗流が、	Những dòng chảy đen tối ẩn mình trong thế giới,
lang_cgVideo.db	29	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	A new storm is brewing.	新たな暴風を企んでいた。	Một cơn bão mới đang ấp ủ.
lang_cgVideo.db	3	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	Rage on and on……	火が付いたまま……	Bùng cháy mãi không thôi......
lang_cgVideo.db	30	3.4	Phụ đề CG	Phụ đề CG			存在异常，如有疑问请联系官方客服	The remnants of those shrouded under the mist,	霧に隠られた余燼が、	Những tàn dư bị màn sương che giấu,
