dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
Sneak.db	1	3.4	Hệ thống	Hệ thống			引起了流放者的注意！			Đã thu hút sự chú ý của Kẻ Lưu Đày!
Sneak.db	2	3.4	Hệ thống	Hệ thống			警戒值达到上限后，将会受到流放者的围攻。			Khi giá trị cảnh giới đạt đến giới hạn, bạn sẽ bị Kẻ Lưu Đày bao vây tấn công.
lang_common_param.db	1	3.4	Hệ thống	Hệ thống			自定义标记			Đánh dấu tùy chỉnh
lang_common_param.db	2	3.4	Hệ thống	Hệ thống			公告			Thông báo
lang_common_param.db	3	3.4	Hệ thống	Hệ thống			共研计划测试反馈			Phản hồi thử nghiệm Kế hoạch Cộng Nghiên
lang_condition.db	1	3.4	Hệ thống	Hệ thống			天城主线步骤完成状态4			Trạng thái hoàn thành bước 4 cốt truyện chính Thiên Thành
lang_condition.db	10	3.4	Hệ thống	Hệ thống			好感度等级达到9后解锁			Mở khóa khi <ano=Bond>Độ Hảo Cảm</ano> đạt cấp 9
lang_condition.db	100	3.4	Hệ thống	Hệ thống			好感度等级达到9后解锁			Mở khóa khi <ano=Bond>Độ Hảo Cảm</ano> đạt cấp 9
lang_condition.db	1000	3.4	Hệ thống	Hệ thống			大世界测试7-完成打击靶组			Thử nghiệm đại thế giới 7 - Hoàn thành tổ bia tấn công
lang_condition.db	1001	3.4	Hệ thống	Hệ thống			大世界测试7-宝箱已销毁			Thử nghiệm đại thế giới 7 - Đã phá hủy rương báu
lang_condition.db	1002	3.4	Hệ thống	Hệ thống			大世界测试8-完成检测机关组			Thử nghiệm đại thế giới 8 - Hoàn thành tổ cơ quan kiểm tra
lang_condition.db	1003	3.4	Hệ thống	Hệ thống			大世界测试8-宝箱已销毁			Thử nghiệm đại thế giới 8 - Đã phá hủy rương báu
lang_condition.db	1004	3.4	Hệ thống	Hệ thống			大世界测试9-开关交互完成			Thử nghiệm đại thế giới 9 - Hoàn thành tương tác công tắc
lang_condition.db	1005	3.4	Hệ thống	Hệ thống			大世界测试9-第1波怪已击杀			Thử nghiệm đại thế giới 9 - Đã tiêu diệt đợt Quái thứ 1
lang_condition.db	1006	3.4	Hệ thống	Hệ thống			大世界测试9-第2波怪已击杀			Thử nghiệm đại thế giới 9 - Đã tiêu diệt đợt Quái thứ 2
lang_condition.db	1007	3.4	Hệ thống	Hệ thống			大世界测试9-宝箱已销毁			Thử nghiệm đại thế giới 9 - Đã phá hủy rương báu
lang_condition.db	1008	3.4	Hệ thống	Hệ thống			大世界测试9-玩法步骤1进行中			Thử nghiệm đại thế giới 9 - Bước gameplay 1 đang tiến hành
lang_condition.db	1009	3.4	Hệ thống	Hệ thống			灯灯猫测试玩法完成			Hoàn thành thử nghiệm gameplay Mèo Đèn Đèn
lang_condition.db	101	3.4	Hệ thống	Hệ thống			好感度等级达到10后解锁			Mở khóa khi <ano=Bond>Độ Hảo Cảm</ano> đạt cấp 10
lang_condition.db	102	3.4	Hệ thống	Hệ thống			好感度等级达到1后解锁			Mở khóa khi <ano=Bond>Độ Hảo Cảm</ano> đạt cấp 1
lang_condition.db	103	3.4	Hệ thống	Hệ thống			好感度等级达到2后解锁			Mở khóa khi <ano=Bond>Độ Hảo Cảm</ano> đạt cấp 2
lang_condition.db	104	3.4	Hệ thống	Hệ thống			好感度等级达到3后解锁			Mở khóa khi <ano=Bond>Độ Hảo Cảm</ano> đạt cấp 3
lang_condition.db	105	3.4	Hệ thống	Hệ thống			好感度等级达到4后解锁			Mở khóa khi <ano=Bond>Độ Hảo Cảm</ano> đạt cấp 4
lang_condition.db	106	3.4	Hệ thống	Hệ thống			好感度等级达到5后解锁			Mở khóa khi <ano=Bond>Độ Hảo Cảm</ano> đạt cấp 5
lang_condition.db	107	3.4	Hệ thống	Hệ thống			好感度等级达到6后解锁			Mở khóa khi <ano=Bond>Độ Hảo Cảm</ano> đạt cấp 6
lang_condition.db	108	3.4	Hệ thống	Hệ thống			好感度等级达到7后解锁			Mở khóa khi <ano=Bond>Độ Hảo Cảm</ano> đạt cấp 7
lang_condition.db	109	3.4	Hệ thống	Hệ thống			好感度等级达到8后解锁			Mở khóa khi <ano=Bond>Độ Hảo Cảm</ano> đạt cấp 8
lang_condition.db	11	3.4	Hệ thống	Hệ thống			好感度等级达到10后解锁			Mở khóa khi <ano=Bond>Độ Hảo Cảm</ano> đạt cấp 10
lang_condition.db	110	3.4	Hệ thống	Hệ thống			好感度等级达到9后解锁			Mở khóa khi <ano=Bond>Độ Hảo Cảm</ano> đạt cấp 9
lang_condition.db	111	3.4	Hệ thống	Hệ thống			好感度等级达到10后解锁			Mở khóa khi <ano=Bond>Độ Hảo Cảm</ano> đạt cấp 10
lang_condition.db	112	3.4	Hệ thống	Hệ thống			好感度等级达到1后解锁			Mở khóa khi <ano=Bond>Độ Hảo Cảm</ano> đạt cấp 1
lang_condition.db	113	3.4	Hệ thống	Hệ thống			好感度等级达到2后解锁			Mở khóa khi <ano=Bond>Độ Hảo Cảm</ano> đạt cấp 2
