dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_multi_text.db	Augusta_shengtai2_10_1	3.4	Hội thoại/Cốt truyện	Hội thoại nhân vật	NPC #250022		没有呐喊，没有喝彩，只听得到风声，还有远处海浪拍打崖岸的声音……	No cheers. No applause. Only the wind and the sea crashing against the cliffs...	歓声も喝采もない。響き渡るのは、風の音と、遠くから伝わる波が崖を打つ音だけ……	Không có tiếng la hét, không có tiếng hò reo, chỉ nghe thấy tiếng gió, và tiếng sóng biển vỗ vào vách đá phía xa...
lang_multi_text.db	Augusta_shengtai2_10_10	3.4	Hội thoại/Cốt truyện	Hội thoại nhân vật	NPC #250022		毕竟只有在这种时候，我才有机会站在竞技台中央，把白天那些没练完的招式练个够。	Only then could I stand in the center of the arena and drill the techniques I dared not fail in daylight.	何しろ、こういう時でなければ、闘技場の中央に立つ機会などなかったからな。昼間にやりきれなかった技を、思う存分、稽古するためだ。	Dù sao thì cũng chỉ những lúc như thế này, ta mới có cơ hội đứng giữa đài thi đấu, tập luyện cho thỏa thích những chiêu thức còn chưa tập xong vào ban ngày.
lang_multi_text.db	Augusta_shengtai2_10_11	3.4	Hội thoại/Cốt truyện	Hội thoại nhân vật	NPC #250022		白天的竞技场属于欢呼，属于荣耀，而夜晚……这里是那些不被荣光眷顾、却咬牙不肯认输的家伙们，唯一的归处。	By day, this place is for glory and applause. By night… it belongs to those denied glory, but who grit their teeth and fight on.	昼の闘技場は、歓声と栄光に満ちていた。そして夜は……栄光に見放されながらも、負けを認めず歯を食いしばる者たちの、唯一の拠り所となる。	Đấu trường ban ngày thuộc về sự tung hô, thuộc về vinh quang, còn ban đêm... nơi đây là chốn nương tựa duy nhất của những kẻ không được vinh quang chiếu cố, nhưng vẫn cắn răng không chịu nhận thua.
lang_multi_text.db	Augusta_shengtai2_10_12	3.4	Hội thoại/Cốt truyện	Hội thoại nhân vật	NPC #250022		当然，能有个像样的地方做战前演练，对于那时的我来说，已经算是不得了的奢侈了。	Back then, a place like this to train in felt like a luxury I had no right to.	もちろん、戦の前に、まともな場所で稽古ができるということ自体、当時の余にとっては、この上ない贅沢だったがな。	Tất nhiên, việc có một nơi tử tế để tập trận, đối với ta lúc bấy giờ mà nói, đã là một sự xa xỉ không tưởng rồi.
lang_multi_text.db	Augusta_shengtai2_10_13	3.4	Hội thoại/Cốt truyện	Hội thoại nhân vật			真想见见从前的奥古斯塔。	I wish I could see that Augusta.	{Male=昔のオーガスタに会ってみたかった。;Female=昔のオーガスタに会ってみたかったわ。}	Thật muốn gặp Augusta của trước kia.
lang_multi_text.db	Augusta_shengtai2_10_14	3.4	Hội thoại/Cốt truyện	Hội thoại nhân vật			好在一切都过去了。	Luckily, those days are now behind you.	{Male=それももう過去のことだ。;Female=それももう過去のことね。}	Cũng may là mọi thứ đã qua rồi.
lang_multi_text.db	Augusta_shengtai2_10_15	3.4	Hội thoại/Cốt truyện	Hội thoại nhân vật	NPC #250022		这个啊……呵呵，你不是早就见过了嘛，那个傻得要命的小姑娘……	Hehe, but you already have, haven't you? That foolish little girl…	何を言う……ふふ、とうに会っているではないか。あの、救いようのないほど愚かな、小娘にな……	Cái này à... hehe, chẳng phải cô đã gặp từ lâu rồi sao, cái cô bé ngốc nghếch đó...
lang_multi_text.db	Augusta_shengtai2_10_16	3.4	Hội thoại/Cốt truyện	Hội thoại nhân vật	NPC #250022		但是说真的，我敢打赌，无论你我什么时日相遇，最后一定都会成为挚友。	But truly, I'd wager no matter when and where we met, we would have become friends all the same.	だが、真面目な話、余は賭けてもいいぞ。いついかなる時に出会おうと、お主と余は必ず、友となっていただろう。	Nhưng nói thật nhé, ta dám cá rằng, dù cho chúng ta gặp nhau vào lúc nào đi nữa, cuối cùng cũng nhất định sẽ trở thành bạn hiền.
lang_multi_text.db	Augusta_shengtai2_10_17	3.4	Hội thoại/Cốt truyện	Hội thoại nhân vật			我也如此相信着。	I believe that too.	{Male=俺も、そう信じている。;Female=私も、そう信じている。}	Mình cũng tin là vậy.
lang_multi_text.db	Augusta_shengtai2_10_18	3.4	Hội thoại/Cốt truyện	Hội thoại nhân vật	NPC #250022		是啊，再坎坷的路，也总算走过来了。	Yes. I took the rough road but eventually came through.	ああ。どれほど険しき道であろうと、ここまで歩き続けてきた。	Đúng vậy, con đường dù có gập ghềnh đến đâu, cuối cùng cũng đi qua được.
