dbfile	key	version	category	folder	speaker	mission	anh_en
lang_handbook.db	1	3.4	Quái	Quái			Vanguard Junrock
lang_handbook.db	10	3.4	Quái	Quái			food ingredient
lang_handbook.db	100	3.4	Quái	Quái			Breakthrough material for Resonator
lang_handbook.db	101	3.4	Quái	Quái			Breakthrough material for Resonator
lang_handbook.db	102	3.4	Quái	Quái			Breakthrough material for Resonator
lang_handbook.db	103	3.4	Quái	Quái			The Cyrscorpion is one of the few Mutant Organisms that shares the same common name and scientific classification.
lang_handbook.db	104	3.4	Quái	Quái			Breakthrough material for Resonator
lang_handbook.db	105	3.4	Quái	Quái			Frostbite Tertoise
lang_handbook.db	106	3.4	Quái	Quái			Breakthrough material for Resonator
lang_handbook.db	107	3.4	Quái	Quái			Binomial name "Chelydra frigidus ", a Mutant Organism the genus Chelydra.
lang_handbook.db	108	3.4	Quái	Quái			Breakthrough material for Resonator
lang_handbook.db	109	3.4	Quái	Quái			Breakthrough material for Resonator
lang_handbook.db	11	3.4	Quái	Quái			Binomial name "Devorsonidum impulsio", Devourer specis. The left upper limb of the Impulse Predators has evolved into a bow and arrow, which can gather conductive energy to shoot at longer distances.
lang_handbook.db	110	3.4	Quái	Quái			Breakthrough material for Resonator
lang_handbook.db	111	3.4	Quái	Quái			Trinomial name "Chrysocyon brachyurus terreo", a Mutant Organism the subspecies Chrysocyon brachyurus.
lang_handbook.db	112	3.4	Quái	Quái			Breakthrough material for Resonator
lang_handbook.db	113	3.4	Quái	Quái			Stonewall Bracer
lang_handbook.db	114	3.4	Quái	Quái			Breakthrough material for Resonator
lang_handbook.db	115	3.4	Quái	Quái			Binomial name "Resinacrustidum lapis", a member of the genus Resinacrustidum.
lang_handbook.db	116	3.4	Quái	Quái			Breakthrough material for Resonator
lang_handbook.db	117	3.4	Quái	Quái			Violet-Feathered Heron
lang_handbook.db	118	3.4	Quái	Quái			Development material for Resonator
lang_handbook.db	119	3.4	Quái	Quái			Trinomial name "Ardea purpurea bipenna", a subspecies of Ardea purpurea uniquely found in Huanglong.
lang_handbook.db	12	3.4	Quái	Quái			food ingredient
lang_handbook.db	120	3.4	Quái	Quái			Development material for Resonator
lang_handbook.db	121	3.4	Quái	Quái			Cyan-Feathered Heron
lang_handbook.db	122	3.4	Quái	Quái			Development material for Resonator
lang_handbook.db	123	3.4	Quái	Quái			Trinomial name "Ardea purpurea bipenna", a subspecies of Ardea purpurea uniquely found in Huanglong.
lang_handbook.db	124	3.4	Quái	Quái			Development material for Resonator
lang_handbook.db	125	3.4	Quái	Quái			Flute Instrumentalist
lang_handbook.db	126	3.4	Quái	Quái			Development material for Resonator
lang_handbook.db	127	3.4	Quái	Quái			Binomial name "Devorsonidum impulsio", a member of the genus Devorsonidum.
lang_handbook.db	128	3.4	Quái	Quái			Development material for Resonator
lang_handbook.db	129	3.4	Quái	Quái			Tambourine Instrumentalist
lang_handbook.db	13	3.4	Quái	Quái			Glacio Predator
lang_handbook.db	130	3.4	Quái	Quái			Development material for Resonator
lang_handbook.db	131	3.4	Quái	Quái			Binomial name "Devorsonidum ruptura", a member of the genus Devorsonidum.
lang_handbook.db	132	3.4	Quái	Quái			Development material for Resonator
lang_handbook.db	133	3.4	Quái	Quái			Rocksteady Guardian
lang_handbook.db	134	3.4	Quái	Quái			Development material for Resonator
lang_handbook.db	135	3.4	Quái	Quái			Binomial name "Devorsonidum spectrum", a member of the genus Devorsonidum.
lang_handbook.db	136	3.4	Quái	Quái			Development material for Resonator
lang_handbook.db	137	3.4	Quái	Quái			Chasm Guardian
lang_handbook.db	138	3.4	Quái	Quái			Development material for Resonator
lang_handbook.db	139	3.4	Quái	Quái			Binomial name "Devorsonidum ruptura", a member of the genus Devorsonidum.
lang_handbook.db	14	3.4	Quái	Quái			Comsumable
lang_handbook.db	140	3.4	Quái	Quái			Development material for Resonator
lang_handbook.db	141	3.4	Quái	Quái			Lil Geohide Saurian
lang_handbook.db	142	3.4	Quái	Quái			Level-up material for Wutherium Battling
lang_handbook.db	143	3.4	Quái	Quái			Binomial name "Aigialosauridae lapis", a Mutant Organism of the genus Aigialosauridae.
lang_handbook.db	144	3.4	Quái	Quái			EXP material for Resonator
lang_handbook.db	145	3.4	Quái	Quái			Roseshroom (Mature)
lang_handbook.db	146	3.4	Quái	Quái			EXP material for Resonator
lang_handbook.db	147	3.4	Quái	Quái			Binomial name "Agaricus mimicus". Prefers shade and humidity, tend to gather in groups of two or three in west caves rich in Tacetite.
lang_handbook.db	148	3.4	Quái	Quái			Level-up material for Wutherium Battling
lang_handbook.db	149	3.4	Quái	Quái			Rupture Dreadmane Major
lang_handbook.db	15	3.4	Quái	Quái			Binomial name "Devorsonidum glacies", Devourer specis, has evolved a body structure similar to a human "cape", which is presumed to gather condensation energy more quickly to form a "projectile "long-range attack.
lang_handbook.db	150	3.4	Quái	Quái			Level-up material for Wutherium Battling
lang_handbook.db	151	3.4	Quái	Quái			Trinomial name "Chrysocyon brachyurus terreo". Adult Dreadmanes are larger in size, ambulant and nocturnal, and lives in packs, with strong social and aggressive characteristics.
lang_handbook.db	152	3.4	Quái	Quái			Level-up material for Wutherium Battling
lang_handbook.db	153	3.4	Quái	Quái			Hoochief
lang_handbook.db	154	3.4	Quái	Quái			Level-up material for Wutherium Battling
lang_handbook.db	155	3.4	Quái	Quái			Binomial name "Hoolock vexo". There are only sightings in the Dim Forest, Mutant Organism with the highest level of intelligence found in Huanglong.
lang_handbook.db	156	3.4	Quái	Quái			Level-up material for Wutherium Battling
lang_handbook.db	157	3.4	Quái	Quái			Spearback Ursa
lang_handbook.db	158	3.4	Quái	Quái			Level-up material for Wutherium Battling
lang_handbook.db	159	3.4	Quái	Quái			Trinomial name "Ursus spelaeus sagispina", mainly found inhabiting the Huanglong Forest. This Mutant Organism has poor eyesight and relies mainly on hearing for hunting.
lang_handbook.db	16	3.4	Quái	Quái			food ingredient
lang_handbook.db	160	3.4	Quái	Quái			Spearback Ursa's front paws are covered with Tacetite with extremely strong physical durability.
lang_handbook.db	161	3.4	Quái	Quái			Chaserazor
lang_handbook.db	162	3.4	Quái	Quái			Level-up material for Wutherium Battling
lang_handbook.db	163	3.4	Quái	Quái			Part of th artificial species, only found in the Dim Forest. Th Tacet Discord usually uses abandoned vehicles as a host shell, and moves quickly, and once it has set eyes on its prey, it will never give up, hence the name "wind chasing blade scythe". This claim is not very credible, according to the analysis of this equipment, most likely because the prey chased by it fled as fast as the "wind".
lang_handbook.db	164	3.4	Quái	Quái			Level-up material for Wutherium Battling
lang_handbook.db	165	3.4	Quái	Quái			Exile Leader
lang_handbook.db	166	3.4	Quái	Quái			Level-up material for Wutherium Battling
lang_handbook.db	167	3.4	Quái	Quái			Exile Leaders are mostly Resonators. In the Huanglong region, for example, the Exile Leaders are usually those who have been expelled from the Mornguard for various reasons, and their combat experience and abilities cannot be compared with those of ordinary Exiles.
lang_handbook.db	168	3.4	Quái	Quái			Level-up material for Wutherium Battling
lang_handbook.db	169	3.4	Quái	Quái			Exile Craftsman
lang_handbook.db	17	3.4	Quái	Quái			Pneuma Predator
lang_handbook.db	170	3.4	Quái	Quái			Level-up material for Wutherium Battling
lang_handbook.db	171	3.4	Quái	Quái			Skilled Exiles who assume the functions of a military officers and mechanics in their respective groups. Their slender appearance was once misunderstood as a lack of combat ability, but those who had this misunderstanding invariably suffered greatly.
lang_handbook.db	172	3.4	Quái	Quái			EXP material for weapon
lang_handbook.db	173	3.4	Quái	Quái			Fractsidus Executioner
lang_handbook.db	174	3.4	Quái	Quái			EXP material for weapon
lang_handbook.db	175	3.4	Quái	Quái			The Executioner unit takes direct orders from the Fractsidus Leader, all of which are all highly trained Resonators. Executioners who has not perished through countless battles will be given the opportunity to be promoted and even become an candidate to "The Twelve", but from the available information, the chances of this are slim.
lang_handbook.db	176	3.4	Quái	Quái			Breakthrough Material for weapon
lang_handbook.db	177	3.4	Quái	Quái			Breakthrough Material for weapon
lang_handbook.db	178	3.4	Quái	Quái			Breakthrough Material for weapon
lang_handbook.db	179	3.4	Quái	Quái			Breakthrough Material for weapon
lang_handbook.db	18	3.4	Quái	Quái			food ingredient
lang_handbook.db	180	3.4	Quái	Quái			Breakthrough Material for weapon
lang_handbook.db	181	3.4	Quái	Quái			Thunder Squama
lang_handbook.db	182	3.4	Quái	Quái			Breakthrough Material for weapon
lang_handbook.db	183	3.4	Quái	Quái			The Thunder Squama resembles the fusion of a human and a lizard. It is able to use Wutherons within the Tacet Field for high-speed maneuvers. Initially, it is judged to be the result of the natural evolution of TDs,.
lang_handbook.db	184	3.4	Quái	Quái			Breakthrough Material for weapon
lang_handbook.db	185	3.4	Quái	Quái			Inferno Rider
lang_handbook.db	186	3.4	Quái	Quái			Breakthrough Material for weapon
lang_handbook.db	187	3.4	Quái	Quái			The usual Tacet Discords does not require a "vehicle" for movement, but the appearance of the Inferno Rider resembles a rider on a motorcycle, presumably this form is derived from a poor imitation of human behavior. The TD's crazy rampage in the "vehicle" is secretly known as "Flames of Fury" by Huanglong.
lang_handbook.db	188	3.4	Quái	Quái			Breakthrough Material for weapon
lang_handbook.db	189	3.4	Quái	Quái			Impermanence Heron
lang_handbook.db	19	3.4	Quái	Quái			Binomial name "Devorsonidum spiritalis", a member of the genus Devorsonidum. The Pneuma Predator's throwing weapon is part of its body structure, and can be recovered using its own pneumatic energy after being thrown.
lang_handbook.db	190	3.4	Quái	Quái			Breakthrough Material for weapon
lang_handbook.db	191	3.4	Quái	Quái			"The Impermanence Heron has three heads" is not an accurate depiction of the beast. Although the nervous system is independent of each other, the "heads" on the left and right sides are similar to the mutant organs that protect the main brain. When the situation is critical, the main "head" will devour them to strengthen its own combat abilities.
lang_handbook.db	192	3.4	Quái	Quái			Breakthrough Material for weapon
lang_handbook.db	193	3.4	Quái	Quái			Gleamtender
lang_handbook.db	194	3.4	Quái	Quái			Breakthrough Material for weapon
lang_handbook.db	195	3.4	Quái	Quái			The Gleamtender is a collection of small insect-like TDs called "Glowflies" that are highly sensitive to different sound frequencies. It can determine the location of prey by sound, and can also absorb and imitate their frequency.
lang_handbook.db	196	3.4	Quái	Quái			Breakthrough Material for weapon
lang_handbook.db	197	3.4	Quái	Quái			Feilian Beringal
lang_handbook.db	198	3.4	Quái	Quái			Breakthrough Material for weapon
lang_handbook.db	199	3.4	Quái	Quái			Once a tool of amusement for humans, later being hunted and became a nuisance for humans, imprisoned in the forest.
lang_handbook.db	2	3.4	Quái	Quái			food ingredient
lang_handbook.db	20	3.4	Quái	Quái			food ingredient
lang_handbook.db	201	3.4	Quái	Quái			Sabyr Boar
lang_handbook.db	203	3.4	Quái	Quái			The Mourning Aix is elegant in form, bearing a bird-like appearance. Originally found in pairs, however, the other aix was defeated by the humans, with its remains forming a "pillar" where the Mourning Aix nests itself.
lang_handbook.db	204	3.4	Quái	Quái			Huanglong
lang_handbook.db	205	3.4	Quái	Quái			Crownless
lang_handbook.db	207	3.4	Quái	Quái			A copy of the Threnodian "Crownless". It resembles a white-armored knight in appearance, and when risen in power, it extends its blood-red wings, presumably because it briefly manipulates the structure of Wutherons in its body, instantly increasing its mobility and attack power. Recently, it has also been observed that it can produce a body structure that mimics human "weapons".
lang_handbook.db	209	3.4	Quái	Quái			Bell-Borne Geochelone
lang_handbook.db	21	3.4	Quái	Quái			Fusion Warrior
lang_handbook.db	211	3.4	Quái	Quái			The ancient bell on the back of the Geochelone hides its Tacetreite core, which resonates with the core when struck, exploding into a sound wave of Glacio energy.
lang_handbook.db	212	3.4	Quái	Quái			Huanglong
lang_handbook.db	22	3.4	Quái	Quái			food ingredient
lang_handbook.db	23	3.4	Quái	Quái			Binomial name "Devorsonidum fusio", a member of the genus Devorsonidum. Bilateral upper limbs resemble long and short spears respectively, and can attack by stabbing and chopping. Moderate danger level.
lang_handbook.db	24	3.4	Quái	Quái			food ingredient
lang_handbook.db	25	3.4	Quái	Quái			Rupture Warrior
lang_handbook.db	26	3.4	Quái	Quái			food ingredient
lang_handbook.db	27	3.4	Quái	Quái			Binomial name "Devorsonidum ruptura", a member of the genus Disorder. Its appearance resembles that of a human, with a strong desire to attack and a certain degree of danger.
lang_handbook.db	28	3.4	Quái	Quái			food ingredient
lang_handbook.db	29	3.4	Quái	Quái			Snip Snap
lang_handbook.db	3	3.4	Quái	Quái			Binomial name "Resinacrustidum lapis", member of the Resinacrustidum species. This Tacet Discord is often found active in packs within mines and mountainous areas, along with other Fission Junrocks, relatively low danger level.
lang_handbook.db	30	3.4	Quái	Quái			food ingredient
lang_handbook.db	31	3.4	Quái	Quái			Binomial name "Strepoplasmidum fusio", a member of the genus Strepoplasmidum. Does not possess any intelligence, due of its plier-shape body, occasionally called the "plier beast".
lang_handbook.db	32	3.4	Quái	Quái			food ingredient
lang_handbook.db	33	3.4	Quái	Quái			Zig Zag
lang_handbook.db	34	3.4	Quái	Quái			food ingredient
lang_handbook.db	35	3.4	Quái	Quái			Scientifically named the "Strepoplasmidum spectrum", a member of the genus Strepoplasmidum. Gained its name due to the lack of intelligence and simple behavioral logic.
lang_handbook.db	36	3.4	Quái	Quái			Material
lang_handbook.db	37	3.4	Quái	Quái			Whiff Whoosh
lang_handbook.db	38	3.4	Quái	Quái			Material
lang_handbook.db	39	3.4	Quái	Quái			Binomial name "Strepoplasmidum spiritalis", a member of the genus Strepoplasmidum. Possesses no intelligence, due to the Aero energy mass gathered in its "head" emitting sound similar to that of a gust of wind, hence the name "Whiff Whoosh".
lang_handbook.db	4	3.4	Quái	Quái			food ingredient
lang_handbook.db	40	3.4	Quái	Quái			food ingredient
lang_handbook.db	41	3.4	Quái	Quái			Tic Tac
lang_handbook.db	42	3.4	Quái	Quái			Material
lang_handbook.db	43	3.4	Quái	Quái			Binomial name "Strepoplasmidum ruptura", a member of the genus Strepoplasmidum. Can use Havoc energy in simple ways to attacks, possesses no intelligence.
lang_handbook.db	44	3.4	Quái	Quái			food ingredient
lang_handbook.db	45	3.4	Quái	Quái			Gulpuff
lang_handbook.db	46	3.4	Quái	Quái			Material
lang_handbook.db	47	3.4	Quái	Quái			Binomial name "Tetraodon lateo", a Mutant Organism of the genus Tetraodon.
lang_handbook.db	48	3.4	Quái	Quái			Material
lang_handbook.db	49	3.4	Quái	Quái			Chirpuff
lang_handbook.db	5	3.4	Quái	Quái			Fission Junrock
lang_handbook.db	50	3.4	Quái	Quái			food ingredient
lang_handbook.db	51	3.4	Quái	Quái			Binomial name "Tetraodon spiritalis", a Mutant Organism of the genus Tetraodon. Theorieds suggests it is a relative to the Gurglepuff, but the ecological zones of the two are slightly different.
lang_handbook.db	52	3.4	Quái	Quái			Dish
lang_handbook.db	53	3.4	Quái	Quái			Glacio Prism
lang_handbook.db	54	3.4	Quái	Quái			Dish
lang_handbook.db	55	3.4	Quái	Quái			Binomial name "Resinacrustidum convenire", a member of the genus Resinacrustidum. One of many low danger level Tacet Discords that are widely found across the world.
lang_handbook.db	56	3.4	Quái	Quái			Dish
lang_handbook.db	57	3.4	Quái	Quái			Fusion Prism
lang_handbook.db	58	3.4	Quái	Quái			Dish
lang_handbook.db	59	3.4	Quái	Quái			Binomial name "Resinacrustidum convenire", a member of the genus Resinacrustidum. One of many low danger level Tacet Discords that are widely found across the world.
lang_handbook.db	6	3.4	Quái	Quái			food ingredient
lang_handbook.db	60	3.4	Quái	Quái			Dish
lang_handbook.db	61	3.4	Quái	Quái			Spectra Prism
lang_handbook.db	62	3.4	Quái	Quái			Dish
lang_handbook.db	63	3.4	Quái	Quái			Binomial name "Resinacrustidum convenire", a member of the genus Resinacrustidum. One of many low danger level Tacet Discords that are widely found across the world.
lang_handbook.db	64	3.4	Quái	Quái			Dish
lang_handbook.db	65	3.4	Quái	Quái			Rupture Prism
lang_handbook.db	66	3.4	Quái	Quái			Dish
lang_handbook.db	67	3.4	Quái	Quái			Binomial name "Resinacrustidum convenire", a member of the genus Resinacrustidum. One of many low danger level Tacet Discords that are widely found across the world.
lang_handbook.db	68	3.4	Quái	Quái			Dish
lang_handbook.db	69	3.4	Quái	Quái			Cruisewing
lang_handbook.db	7	3.4	Quái	Quái			Binomial name "Resinacrustidum lapis", part of the Resinacrustidum species. This Tacet Discord is often found active, along with Vanguard Junrocks, relatively low danger level.
lang_handbook.db	70	3.4	Quái	Quái			Dish
lang_handbook.db	71	3.4	Quái	Quái			Binomial name "Acanthacorydalis squapenna", a member of the genus Resinacrustidum. Commonly found on waterfronts in warm and humid areas throughout Huanglong. Although slightly aggressive, they are easily preyed upon by Geohide Saurians and others, and are not very dangerous. Relatively low danger level.
lang_handbook.db	72	3.4	Quái	Quái			Dish
lang_handbook.db	73	3.4	Quái	Quái			Sabyr Boar
lang_handbook.db	74	3.4	Quái	Quái			Dish
lang_handbook.db	75	3.4	Quái	Quái			Binomial name "Babyrousa fractden", a Mutant Organism the genus Babyrousa. An omnivore Mutant Organism commonly seen everywhere. Although its diet is mainly of vegetative origin, but the temperament is unlike the ordinary herbivores.
lang_handbook.db	76	3.4	Quái	Quái			Dish
lang_handbook.db	77	3.4	Quái	Quái			Excarat
lang_handbook.db	78	3.4	Quái	Quái			Dish
lang_handbook.db	79	3.4	Quái	Quái			Binomial name "Myospalax actinoaftia", a Mutant Organism the genus Myospalax. A common small rodent Mutant Organism, mostly found in grasslands or temperate forests and mountains.
lang_handbook.db	8	3.4	Quái	Quái			food ingredient
lang_handbook.db	80	3.4	Quái	Quái			Dish
lang_handbook.db	81	3.4	Quái	Quái			Lil Geohide Saurian
lang_handbook.db	82	3.4	Quái	Quái			Comsumable
lang_handbook.db	83	3.4	Quái	Quái			Binomial name "Aigialosauridae lapis", a Mutant Organism the genus Aigialosauridae. The lizards have no natural habit of caring for their younglings, thus hatchlings can only survive by imitating the hunting behavior of the adults, scavenging the remains of their food and, if necessary, using other hatchlings as targets for prey.
lang_handbook.db	84	3.4	Quái	Quái			Breakthrough material for Resonator
lang_handbook.db	85	3.4	Quái	Quái			Roseshroom (Immature)
lang_handbook.db	86	3.4	Quái	Quái			Breakthrough material for Resonator
lang_handbook.db	87	3.4	Quái	Quái			Binomial name "Agaricus mimetikos", a Mutant Organism the genus Agaricus. In its immatured stage, the Roseshroom does not yet possess the ability to absorb nutrients from Tacetites, thus needing to gather nutrients from nearby matured Roseshrooms in order to survive.
lang_handbook.db	88	3.4	Quái	Quái			Breakthrough material for Resonator
lang_handbook.db	89	3.4	Quái	Quái			Exile Commoner
lang_handbook.db	9	3.4	Quái	Quái			Impulse Predator
lang_handbook.db	90	3.4	Quái	Quái			Breakthrough material for Resonator
lang_handbook.db	91	3.4	Quái	Quái			The name "Exile" bears an unforgivable felony. They can not enter towns, thus left wandering in the wilderness. Although most of the Exiles only paid for their past misdeeds, considering that not all trials in various nations are "fair", there are quite a number who were wrongfully exiled and are rebelling with a sense of fury in mind
